id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
48636;Poloma;Bow (Choctaw);Female;Native American;199;07.07.2016 21:20:47;myData.biz
48637;Poloma;"Choctaw name meaning &quot; bow.&quot;";Female;Native;199;07.07.2016 21:20:54;myData.biz
48638;Polycarp;much fruit;Male;Greek;939;07.07.2016 21:21:03;myData.biz
48639;Polydamas;myth name (a Trojan warrior);Male;Greek;6;07.07.2016 21:21:10;myData.biz
48640;Polydeuces;myth name (Pollux);Male;Greek;38;07.07.2016 21:21:22;myData.biz
48641;Polydorus;myth name (son of Priam);Male;Greek;4;07.07.2016 21:21:28;myData.biz
48642;Polyeidus;myth name (a seer);Male;Greek;2;07.07.2016 21:21:34;myData.biz
48643;Polyhymnia;myth name (muse of sacred song);Female;Greek;75;07.07.2016 21:21:44;myData.biz
48644;Polymestor;myth name (Priam's son-in-law);Male;Greek;0;07.07.2016 21:21:50;myData.biz
48645;Polynices;myth name (uncle of Oedipus);Male;Greek;5;07.07.2016 21:21:58;myData.biz
48646;Polyphemus;myth name (son of Poseidon);Male;Greek;65;07.07.2016 21:22:09;myData.biz
48647;Polyxena;myth name (daughter of Priam);Female;Greek;49;07.07.2016 21:22:18;myData.biz
48648;Pomeroy;Lives near the apple orchard;Male;French;12000;07.07.2016 21:22:25;myData.biz
48649;Pommelraie;Lives near the apple orchard;Male;French;2;07.07.2016 21:22:30;myData.biz
48650;Ponce;Born fifth;Male;Spanish;116000;07.07.2016 21:22:40;myData.biz
48651;Poni;"Bari of S. Sudan name meaning &quot;second born.&quot;";Male;African;6000;07.07.2016 21:22:47;myData.biz
48652;Pontus;sea;Male;Greek;8000;07.07.2016 21:22:56;myData.biz
48653;Poppy;Flower;Female;English;27000;07.07.2016 21:23:03;myData.biz
48654;Porfirio;Purple;Male;Spanish;8000;07.07.2016 21:23:11;myData.biz
48655;Porfirio;purple stone;Male;Greek;8000;07.07.2016 21:23:18;myData.biz
48656;Porfiro;Purple;Male;Spanish;167;07.07.2016 21:23:29;myData.biz
48657;Porrex;myth name;Male;English;6;07.07.2016 21:23:38;myData.biz
48658;Porsche;Offering;Female;German;31000;07.07.2016 21:23:42;myData.biz
48659;Porter;gatekeeper;Male;French;231000;07.07.2016 21:23:53;myData.biz
